N	Time	Hours	Freq(kHz)	Amp	KK	R(km)	AntAz(grad)	AntEl(grad)	NORAD	Name
1	12:41:46.441	12.696234	159192	0.004516	0.257702	609.479530	17.915527	-9.891266	46581	STARLINK-1712
2	12:41:47.558	12.696544	159144	0.005654	0.210875	606.818826	17.854948	-8.972654	46581	STARLINK-1712
3	12:41:48.751	12.696875	159144	0.006296	0.289024	604.096603	17.806586	-7.596470	46581	STARLINK-1712
4	12:41:49.888	12.697191	159144	0.006292	0.302794	601.506732	17.758265	-7.473496	46581	STARLINK-1712
5	12:41:51.013	12.697504	159096	0.006655	0.340322	599.173244	17.705891	-6.555505	46581	STARLINK-1712
6	12:41:51.110	12.697531	159096	0.006389	0.326346	598.844749	17.697990	-6.468250	46581	STARLINK-1712
7	12:41:52.048	12.697791	159144	0.007030	0.370884	596.958472	17.637636	-5.969804	46581	STARLINK-1712
8	12:41:52.944	12.698040	159048	0.007414	0.371981	595.263260	17.557214	-5.272055	46581	STARLINK-1712
9	12:41:53.243	12.698123	159048	0.007298	0.360237	594.528985	17.589595	-5.218426	46581	STARLINK-1712
10	12:41:54.243	12.698401	159240	0.007020	0.303632	592.673801	17.505302	-4.614686	46581	STARLINK-1712
11	12:41:54.393	12.698443	159192	0.006111	0.324535	592.356576	17.541453	-4.102045	46581	STARLINK-1712
12	12:41:55.441	12.698734	159240	0.004347	0.216470	590.645275	17.420989	-3.751293	46581	STARLINK-1712
13	12:41:56.694	12.699082	159096	0.004442	0.228297	588.456995	17.369057	-1.819449	46581	STARLINK-1712
14	12:41:57.756	12.699377	158952	0.008586	0.439682	586.761673	17.260988	-1.418305	46581	STARLINK-1712
15	12:41:57.888	12.699413	159000	0.009553	0.510016	586.514446	17.281017	-1.362265	46581	STARLINK-1712
16	12:41:58.060	12.699461	159096	0.009554	0.528864	586.153675	17.265190	-1.187150	46581	STARLINK-1712
17	12:41:58.114	12.699476	159144	0.010969	0.552128	586.028020	17.253287	-1.276328	46581	STARLINK-1712
18	12:41:58.841	12.699678	158952	0.015064	0.713020	585.071469	17.189192	-1.171310	46581	STARLINK-1712
19	12:41:58.904	12.699696	159000	0.016207	0.720100	584.934604	17.201222	-0.890169	46581	STARLINK-1712
20	12:41:58.969	12.699714	159048	0.016466	0.740897	584.759459	17.197305	-1.017379	46581	STARLINK-1712
21	12:41:59.942	12.699984	158904	0.021397	0.800025	583.497393	17.089550	-0.414372	46581	STARLINK-1712
22	12:42:00.058	12.700016	158952	0.023164	0.836428	583.275276	17.101560	-0.380415	46581	STARLINK-1712
23	12:42:00.112	12.700031	159000	0.023448	0.841886	583.140830	17.105611	-0.262553	46581	STARLINK-1712
24	12:42:00.264	12.700073	159096	0.023690	0.835270	582.889140	17.097790	-0.271851	46581	STARLINK-1712
25	12:42:01.167	12.700324	158904	0.028233	0.878815	581.783036	17.010014	0.438623	46581	STARLINK-1712
26	12:42:01.234	12.700343	158952	0.028954	0.882039	581.656539	17.014058	0.525226	46581	STARLINK-1712
27	12:42:01.351	12.700375	159048	0.030195	0.893352	581.417721	17.006250	0.519974	46581	STARLINK-1712
28	12:42:02.366	12.700657	158856	0.033153	0.904037	580.342329	16.894805	1.264964	46581	STARLINK-1712
29	12:42:02.463	12.700684	158952	0.034702	0.912444	580.116560	16.918748	1.168560	46581	STARLINK-1712
30	12:42:03.365	12.700935	158856	0.034704	0.904978	579.146980	16.823452	1.911990	46581	STARLINK-1712
31	12:42:03.493	12.700970	158904	0.036567	0.916211	578.893779	16.827484	1.893678	46581	STARLINK-1712
32	12:42:03.594	12.700998	158904	0.034162	0.907307	578.719461	16.819700	1.987541	46581	STARLINK-1712
33	12:42:04.571	12.701270	158952	0.034964	0.912821	577.721696	16.736498	2.629987	46581	STARLINK-1712
34	12:42:04.649	12.701291	159000	0.035805	0.916032	577.584854	16.724701	2.652110	46581	STARLINK-1712
35	12:42:05.488	12.701524	159000	0.034954	0.907893	576.978430	16.645373	3.317260	46581	STARLINK-1712
36	12:42:05.573	12.701548	158808	0.034677	0.908680	576.714249	16.645512	3.392936	46581	STARLINK-1712
37	12:42:05.654	12.701571	158904	0.032548	0.896674	576.637092	16.625836	3.434607	46581	STARLINK-1712
38	12:42:05.703	12.701584	158952	0.032094	0.902076	576.533786	16.645651	3.538872	46581	STARLINK-1712
39	12:42:06.618	12.701838	159000	0.031302	0.875638	575.813677	16.538892	4.221524	46581	STARLINK-1712
40	12:42:06.726	12.701868	158856	0.031154	0.882246	575.654723	16.539030	4.273038	46581	STARLINK-1712
